                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3328,                 3.3543,                 1.0523,                0.17304,                0.34718,                0.19539,                0.12605,                 1.2189,                 2.8569,                 1.0229,             0.00041328,             0.00041328,             0.00041328
                      2,                 1.1089,                 2.4295,                0.99161,                0.24331,                0.49001,                0.26198,                 0.1556,                 1.4243,                 2.2831,                 1.1262,             0.00081351,             0.00081351,             0.00081351
                      3,                0.96485,                 2.1385,                0.96094,                0.21734,                0.44444,                0.25649,                0.20859,                0.70511,                 3.3562,                0.91204,              0.0011972,              0.0011972,              0.0011972
                      4,                0.89471,                 1.9305,                0.94613,                0.28215,                0.46332,                0.30307,                0.24956,                0.67309,                  1.816,                0.89268,              0.0011757,              0.0011757,              0.0011757
                      5,                0.81956,                 1.7921,                0.93124,                0.22607,                0.55743,                0.31815,                0.19429,                 1.4452,                  1.747,                 1.1666,               0.001151,               0.001151,               0.001151
                      6,                0.76681,                 1.6553,                0.91147,                0.33958,                0.54131,                0.39405,                0.26102,                 1.1783,                 1.5674,                 1.0406,              0.0011263,              0.0011263,              0.0011263
                      7,                0.74962,                 1.6093,                0.91871,                0.35758,                0.50151,                 0.3953,                0.23073,                 1.4567,                 2.0239,                 1.2314,              0.0011015,              0.0011015,              0.0011015
                      8,                0.72409,                 1.5106,                0.90987,                0.31861,                0.53243,                0.37453,                0.31537,                0.59405,                 1.5525,                0.88255,              0.0010768,              0.0010768,              0.0010768
                      9,                0.69547,                 1.4714,                0.90587,                0.32841,                0.56783,                0.38141,                0.32358,                0.61391,                  1.444,                0.88109,               0.001052,               0.001052,               0.001052
                     10,                0.69495,                 1.4418,                0.90619,                0.36657,                0.59287,                0.43024,                0.37944,                0.50984,                 1.4363,                0.85209,              0.0010273,              0.0010273,              0.0010273
                     11,                0.69241,                 1.4428,                0.91309,                0.30055,                0.54763,                0.37792,                0.23149,                 1.4103,                 1.9561,                 1.1946,              0.0010025,              0.0010025,              0.0010025
                     12,                0.66337,                  1.417,                0.89997,                0.32225,                0.46029,                0.34057,                0.20816,                  1.528,                 2.0643,                 1.3223,             0.00097775,             0.00097775,             0.00097775
                     13,                0.65072,                 1.3403,                 0.8892,                0.43704,                0.56024,                0.46419,                0.40302,                0.57873,                 1.3392,                0.88024,               0.000953,               0.000953,               0.000953
                     14,                0.64232,                 1.3567,                0.89435,                 0.4536,                0.54343,                0.48741,                0.32333,                  1.192,                 1.3482,                 1.1262,             0.00092825,             0.00092825,             0.00092825
                     15,                0.62724,                 1.3161,                0.89125,                0.44579,                0.57676,                0.50519,                0.44802,                0.48797,                 1.2654,                0.85488,              0.0009035,              0.0009035,              0.0009035
                     16,                0.61786,                 1.2869,                0.88342,                0.43747,                0.54483,                0.47272,                0.42135,                0.47549,                 1.3328,                0.84843,             0.00087875,             0.00087875,             0.00087875
                     17,                0.60171,                 1.3116,                0.88346,                0.39302,                0.56887,                0.49462,                0.44597,                0.45031,                 1.2998,                0.84413,               0.000854,               0.000854,               0.000854
                     18,                 0.5836,                 1.2401,                0.87902,                0.44991,                0.48056,                0.45364,                0.40595,                0.46343,                 1.4617,                0.84818,             0.00082925,             0.00082925,             0.00082925
                     19,                0.59181,                  1.242,                0.87378,                0.46737,                 0.5495,                 0.5029,                 0.4517,                0.44407,                 1.2247,                 0.8486,              0.0008045,              0.0008045,              0.0008045
                     20,                0.58615,                  1.224,                0.87417,                0.49492,                0.57546,                0.53108,                 0.4764,                0.44266,                 1.1996,                0.84225,             0.00077975,             0.00077975,             0.00077975
                     21,                0.56292,                 1.2174,                0.86973,                0.53921,                0.52223,                0.53437,                0.47262,                0.51215,                 1.2164,                0.86367,               0.000755,               0.000755,               0.000755
                     22,                0.55708,                 1.2087,                0.86489,                0.47695,                0.56424,                0.50438,                0.45841,                 0.4531,                 1.2472,                0.84274,             0.00073025,             0.00073025,             0.00073025
                     23,                0.56484,                 1.2034,                0.87053,                0.48656,                0.60004,                0.54809,                0.49217,                0.45307,                  1.206,                0.84746,              0.0007055,              0.0007055,              0.0007055
                     24,                0.54572,                 1.1749,                0.87334,                0.39521,                0.69536,                0.52498,                0.32575,                 1.3574,                 1.4188,                 1.2134,             0.00068075,             0.00068075,             0.00068075
                     25,                0.53955,                 1.1683,                0.86698,                0.52498,                0.54638,                0.54779,                0.49723,                0.43214,                 1.2231,                0.83975,               0.000656,               0.000656,               0.000656
                     26,                0.54676,                 1.1714,                0.86525,                0.51214,                0.62029,                0.56597,                0.51546,                0.41458,                 1.1387,                0.83508,             0.00063125,             0.00063125,             0.00063125
                     27,                0.54297,                 1.1365,                0.86656,                0.46398,                0.59788,                0.52275,                0.47986,                0.39401,                 1.1645,                 0.8331,              0.0006065,              0.0006065,              0.0006065
                     28,                 0.5224,                 1.1174,                0.85527,                0.54156,                0.56068,                0.55725,                0.50936,                0.40164,                 1.1408,                0.83834,             0.00058175,             0.00058175,             0.00058175
                     29,                0.53056,                  1.091,                0.86264,                0.48388,                0.64333,                0.57486,                0.52283,                0.43762,                 1.1149,                0.84095,               0.000557,               0.000557,               0.000557
                     30,                0.51991,                 1.0891,                0.86259,                0.58336,                0.56621,                0.58804,                0.44885,                 0.8148,                  1.173,                0.96444,             0.00053225,             0.00053225,             0.00053225
                     31,                0.51356,                 1.0777,                0.85701,                0.49529,                 0.5993,                0.56999,                0.36661,                 1.2708,                 1.2756,                 1.1894,              0.0005075,              0.0005075,              0.0005075
                     32,                0.50597,                 1.0613,                0.84945,                0.47755,                0.64857,                0.56447,                0.51718,                0.39107,                 1.1017,                0.83386,             0.00048275,             0.00048275,             0.00048275
